"id","id","kode","name","deskripsi"
"__export__.cdn_icd9_12995_8a314284","__export__.cdn_icd9_12995_8a314284","38.65","Other excision of vessels, thoracic vessels","Thoracic vessel excision"
"__export__.cdn_icd9_12996_6ecc11b1","__export__.cdn_icd9_12996_6ecc11b1","38.66","Other excision of vessels, abdominal arteries","Abdominal artery excis"
"__export__.cdn_icd9_12997_b90e5bfc","__export__.cdn_icd9_12997_b90e5bfc","38.67","Other excision of vessels, abdominal veins","Abdominal vein excision"
"__export__.cdn_icd9_12998_c9487f1d","__export__.cdn_icd9_12998_c9487f1d","38.68","Other excision of vessels, lower limb arteries","Leg artery excision"
"__export__.cdn_icd9_12999_0bfc6f7f","__export__.cdn_icd9_12999_0bfc6f7f","38.69","Other excision of vessels, lower limb veins","Leg vein excision"
"__export__.cdn_icd9_13000_241123e9","__export__.cdn_icd9_13000_241123e9","38.7","Interruption of the vena cava","Interruption vena cava"
"__export__.cdn_icd9_13001_ee422436","__export__.cdn_icd9_13001_ee422436","38.80","Other surgical occlusion of vessels, unspecified site","Surg vessel occlus NEC"
"__export__.cdn_icd9_13002_af79bdfa","__export__.cdn_icd9_13002_af79bdfa","38.81","Other surgical occlusion of vessels, intracranial vessels","Occlus intracran ves NEC"
"__export__.cdn_icd9_13003_d338bb0d","__export__.cdn_icd9_13003_d338bb0d","38.82","Other surgical occlusion of vessels, other vessels of head and neck","Occlus head/neck ves NEC"
"__export__.cdn_icd9_13004_85ea20ae","__export__.cdn_icd9_13004_85ea20ae","38.83","Other surgical occlusion of vessels, upper limb vessels","Occlude arm vessel NEC"
"__export__.cdn_icd9_13005_e5d4a034","__export__.cdn_icd9_13005_e5d4a034","38.84","Other surgical occlusion of vessels, aorta, abdominal","Occlude aorta NEC"
"__export__.cdn_icd9_13006_92f7d563","__export__.cdn_icd9_13006_92f7d563","38.85","Other surgical occlusion of vessels, thoracic vessels","Occlude thoracic ves NEC"
"__export__.cdn_icd9_13007_e79a3b60","__export__.cdn_icd9_13007_e79a3b60","38.86","Other surgical occlusion of vessels, abdominal arteries","Occlude abd artery NEC"
"__export__.cdn_icd9_13008_eacac913","__export__.cdn_icd9_13008_eacac913","38.87","Other surgical occlusion of vessels, abdominal veins","Occlude abd vein NEC"
"__export__.cdn_icd9_13009_c2f5b8bc","__export__.cdn_icd9_13009_c2f5b8bc","38.88","Other surgical occlusion of vessels, lower limb arteries","Occlude leg artery NEC"
"__export__.cdn_icd9_13010_4a439aee","__export__.cdn_icd9_13010_4a439aee","38.89","Other surgical occlusion of vessels, lower limb veins","Occlude leg vein NEC"
"__export__.cdn_icd9_13011_9771b1f7","__export__.cdn_icd9_13011_9771b1f7","38.91","Arterial catheterization","Arterial catheterization"
"__export__.cdn_icd9_13012_98a744aa","__export__.cdn_icd9_13012_98a744aa","38.92","Umbilical vein catheterization","Umbilical vein cath"
"__export__.cdn_icd9_13013_7847b366","__export__.cdn_icd9_13013_7847b366","38.93","Venous catheterization, not elsewhere classified","Venous cath NEC"
"__export__.cdn_icd9_13014_feccba22","__export__.cdn_icd9_13014_feccba22","38.94","Venous cutdown","Venous cutdown"
"__export__.cdn_icd9_13015_a2f2db1f","__export__.cdn_icd9_13015_a2f2db1f","38.95","Venous catheterization for renal dialysis","Ven cath renal dialysis"
"__export__.cdn_icd9_13016_1a191a46","__export__.cdn_icd9_13016_1a191a46","38.97","Central venous catheter placement with guidance","CV cath plcmt w guidance"
"__export__.cdn_icd9_13017_f3d95bbe","__export__.cdn_icd9_13017_f3d95bbe","38.98","Other puncture of artery","Arterial puncture NEC"
"__export__.cdn_icd9_13018_b4007d46","__export__.cdn_icd9_13018_b4007d46","38.99","Other puncture of vein","Venous puncture NEC"
"__export__.cdn_icd9_13019_47831434","__export__.cdn_icd9_13019_47831434","39.0","Systemic to pulmonary artery shunt","Systemic-pulm art shunt"
"__export__.cdn_icd9_13020_6d4a35a4","__export__.cdn_icd9_13020_6d4a35a4","39.1","Intra-abdominal venous shunt","Intra-abd venous shunt"
"__export__.cdn_icd9_13021_460cb91f","__export__.cdn_icd9_13021_460cb91f","39.21","Caval-pulmonary artery anastomosis","Caval-pulmon art anastom"
"__export__.cdn_icd9_13022_de370161","__export__.cdn_icd9_13022_de370161","39.22","Aorta-subclavian-carotid bypass","Aorta-subclv-carot bypas"
"__export__.cdn_icd9_13023_e5da7561","__export__.cdn_icd9_13023_e5da7561","39.23","Other intrathoracic vascular shunt or bypass","Intrathoracic shunt NEC"
"__export__.cdn_icd9_13024_6e8fb30d","__export__.cdn_icd9_13024_6e8fb30d","39.24","Aorta-renal bypass","Aorta-renal bypass"
"__export__.cdn_icd9_13025_0334b065","__export__.cdn_icd9_13025_0334b065","39.25","Aorta-iliac-femoral bypass","Aorta-iliac-femor bypass"
"__export__.cdn_icd9_13026_a2f551eb","__export__.cdn_icd9_13026_a2f551eb","39.26","Other intra-abdominal vascular shunt or bypass","Intra-abdomin shunt NEC"
"__export__.cdn_icd9_13027_f4196ced","__export__.cdn_icd9_13027_f4196ced","39.27","Arteriovenostomy for renal dialysis","Dialysis arteriovenostom"
"__export__.cdn_icd9_13028_fd16fcb7","__export__.cdn_icd9_13028_fd16fcb7","39.28","Extracranial-intracranial (EC-IC) vascular bypass","Extracran-intracr bypass"
"__export__.cdn_icd9_13029_4060b3de","__export__.cdn_icd9_13029_4060b3de","39.29","Other (peripheral) vascular shunt or bypass","Vasc shunt & bypass NEC"
"__export__.cdn_icd9_13030_65a5ebd2","__export__.cdn_icd9_13030_65a5ebd2","39.30","Suture of unspecified blood vessel","Suture of vessel NOS"
"__export__.cdn_icd9_13031_a2f6b93c","__export__.cdn_icd9_13031_a2f6b93c","39.31","Suture of artery","Suture of artery"
"__export__.cdn_icd9_13032_8f7aeef6","__export__.cdn_icd9_13032_8f7aeef6","39.32","Suture of vein","Suture of vein"
"__export__.cdn_icd9_13033_05d0611b","__export__.cdn_icd9_13033_05d0611b","39.41","Control of hemorrhage following vascular surgery","Postop vasc op hem contr"
"__export__.cdn_icd9_13034_43fcbc03","__export__.cdn_icd9_13034_43fcbc03","39.42","Revision of arteriovenous shunt for renal dialysis","Revis ren dialysis shunt"
"__export__.cdn_icd9_13035_5f6e04b1","__export__.cdn_icd9_13035_5f6e04b1","39.43","Removal of arteriovenous shunt for renal dialysis","Remov ren dialysis shunt"
"__export__.cdn_icd9_13036_41139052","__export__.cdn_icd9_13036_41139052","39.49","Other revision of vascular procedure","Vasc proc revision NEC"
"__export__.cdn_icd9_13037_79aad9e2","__export__.cdn_icd9_13037_79aad9e2","39.50","Angioplasty of other non-coronary vessel(s)","Angio oth non-coronary"
"__export__.cdn_icd9_13038_fd7b6197","__export__.cdn_icd9_13038_fd7b6197","39.51","Clipping of aneurysm","Clipping of aneurysm"
"__export__.cdn_icd9_13039_108c2334","__export__.cdn_icd9_13039_108c2334","39.52","Other repair of aneurysm","Aneurysm repair NEC"
"__export__.cdn_icd9_13040_fa206ad2","__export__.cdn_icd9_13040_fa206ad2","39.53","Repair of arteriovenous fistula","Arterioven fistula rep"
"__export__.cdn_icd9_13041_13dd26d1","__export__.cdn_icd9_13041_13dd26d1","39.54","Re-entry operation (aorta)","Re-entry operation"
"__export__.cdn_icd9_13042_af8bb910","__export__.cdn_icd9_13042_af8bb910","39.55","Reimplantation of aberrant renal vessel","Reimplan aberr renal ves"
"__export__.cdn_icd9_13043_02c4e4be","__export__.cdn_icd9_13043_02c4e4be","39.56","Repair of blood vessel with tissue patch graft","Repair vess w tis patch"
"__export__.cdn_icd9_13044_b61716a2","__export__.cdn_icd9_13044_b61716a2","39.57","Repair of blood vessel with synthetic patch graft","Rep vess w synth patch"
"__export__.cdn_icd9_13045_402c88ac","__export__.cdn_icd9_13045_402c88ac","39.58","Repair of blood vessel with unspecified type of patch graft","Repair vess w patch NOS"
"__export__.cdn_icd9_13046_7ac54adb","__export__.cdn_icd9_13046_7ac54adb","39.59","Other repair of vessel","Repair of vessel NEC"
"__export__.cdn_icd9_13047_58fa5b01","__export__.cdn_icd9_13047_58fa5b01","39.61","Extracorporeal circulation auxiliary to open heart surgery","Extracorporeal circulat"
"__export__.cdn_icd9_13048_1c46a0f9","__export__.cdn_icd9_13048_1c46a0f9","39.62","Hypothermia (systemic) incidental to open heart surgery","Hypothermia w open heart"
"__export__.cdn_icd9_13049_19bcc95b","__export__.cdn_icd9_13049_19bcc95b","39.63","Cardioplegia","Cardioplegia"
"__export__.cdn_icd9_13050_45a1e82f","__export__.cdn_icd9_13050_45a1e82f","39.64","Intraoperative cardiac pacemaker","Intraop cardiac pacemak"
"__export__.cdn_icd9_13051_b30c0890","__export__.cdn_icd9_13051_b30c0890","39.65","Extracorporeal membrane oxygenation [ECMO]","Extracorporeal memb oxy"
"__export__.cdn_icd9_13052_f571d43a","__export__.cdn_icd9_13052_f571d43a","39.66","Percutaneous cardiopulmonary bypass","Per cardiopulmon bypass"
"__export__.cdn_icd9_13053_4372f785","__export__.cdn_icd9_13053_4372f785","39.71","Endovascular implantation of other graft in abdominal aorta","Endo imp oth grf abd aor"
"__export__.cdn_icd9_13054_7c458b58","__export__.cdn_icd9_13054_7c458b58","39.72","Endovascular (total) embolization or occlusion of head and neck vessels","Endovasc embol hd/nk ves"
"__export__.cdn_icd9_13055_f4eacdee","__export__.cdn_icd9_13055_f4eacdee","39.73","Endovascular implantation of graft in thoracic aorta","Endo imp grft thor aorta"
"__export__.cdn_icd9_13056_e5ca8e9c","__export__.cdn_icd9_13056_e5ca8e9c","39.74","Endovascular removal of obstruction from head and neck vessel(s)","Endo rem obs hd/neck ves"
"__export__.cdn_icd9_13057_a177df33","__export__.cdn_icd9_13057_a177df33","39.75","Endovascular embolization or occlusion of vessel(s) of head or neck using bare coils","Endo emb hd/nk,bare coil"
"__export__.cdn_icd9_13058_f5eac9b8","__export__.cdn_icd9_13058_f5eac9b8","39.76","Endovascular embolization or occlusion of vessel(s) of head or neck using bioactive coils","Endo em hd/nk,bioac coil"
"__export__.cdn_icd9_13059_d10288e3","__export__.cdn_icd9_13059_d10288e3","39.77","Temporary (partial) therapeutic endovascular occlusion of vessel","Temp endovsc occls vessl"
"__export__.cdn_icd9_13060_fb3a2b61","__export__.cdn_icd9_13060_fb3a2b61","39.78","Endovascular implantation of branching or fenestrated graft(s) in aorta","Endovas impln grft aorta"
"__export__.cdn_icd9_13061_eb311b87","__export__.cdn_icd9_13061_eb311b87","39.79","Other endovascular procedures on other vessels","Oth endo proc oth vessel"
"__export__.cdn_icd9_13062_2e897961","__export__.cdn_icd9_13062_2e897961","39.81","Implantation or replacement of carotid sinus stimulation device, total system","Imp crtd sinus stm,totl"
"__export__.cdn_icd9_13063_1af43d9f","__export__.cdn_icd9_13063_1af43d9f","39.82","Implantation or replacement of carotid sinus stimulation lead(s) only","Imp/rep crtd sinus lead"
"__export__.cdn_icd9_13064_23daf068","__export__.cdn_icd9_13064_23daf068","39.83","Implantation or replacement of carotid sinus stimulation pulse generator only","Imp/rep crtd sinus gnrtr"
"__export__.cdn_icd9_13065_91e29607","__export__.cdn_icd9_13065_91e29607","39.84","Revision of carotid sinus stimulation lead(s) only","Rev crtd sinus stm leads"
"__export__.cdn_icd9_13066_705e0f0d","__export__.cdn_icd9_13066_705e0f0d","39.85","Revision of carotid sinus stimulation pulse generator","Rev crtd sinus pulse gen"
"__export__.cdn_icd9_13067_fdc78eb4","__export__.cdn_icd9_13067_fdc78eb4","39.86","Removal of carotid sinus stimulation device, total system","Rem crtd sinus stm, totl"
"__export__.cdn_icd9_13068_c76c3f5d","__export__.cdn_icd9_13068_c76c3f5d","39.87","Removal of carotid sinus stimulation lead(s) only","Rem crtd sinus stm lead"
"__export__.cdn_icd9_13069_c724c47c","__export__.cdn_icd9_13069_c724c47c","39.88","Removal of carotid sinus stimulation pulse generator only","Rem crtd sinus pulse gen"
"__export__.cdn_icd9_13070_bec66628","__export__.cdn_icd9_13070_bec66628","39.89","Other operations on carotid body, carotid sinus and other vascular bodies","Oth cartd body/sinus op"
"__export__.cdn_icd9_13071_7503e88a","__export__.cdn_icd9_13071_7503e88a","39.90","Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)","Ins non-d-e non-cor stnt"
"__export__.cdn_icd9_13072_a7597528","__export__.cdn_icd9_13072_a7597528","39.91","Freeing of vessel","Freeing of vessel"
"__export__.cdn_icd9_13073_3d1d7977","__export__.cdn_icd9_13073_3d1d7977","39.92","Injection of sclerosing agent into vein","Vein inject-scleros agnt"
"__export__.cdn_icd9_13074_09b7117c","__export__.cdn_icd9_13074_09b7117c","39.93","Insertion of vessel-to-vessel cannula","Insert ves-to-ves cannul"
"__export__.cdn_icd9_13075_734ac5fa","__export__.cdn_icd9_13075_734ac5fa","39.94","Replacement of vessel-to-vessel cannula","Replac ves-to-ves cannul"
"__export__.cdn_icd9_13076_8eccdd9f","__export__.cdn_icd9_13076_8eccdd9f","39.95","Hemodialysis","Hemodialysis"
"__export__.cdn_icd9_13077_b7ba98f2","__export__.cdn_icd9_13077_b7ba98f2","39.96","Total body perfusion","Total body perfusion"
"__export__.cdn_icd9_13078_06217d5d","__export__.cdn_icd9_13078_06217d5d","39.97","Other perfusion","Other perfusion"
"__export__.cdn_icd9_13079_bde7f448","__export__.cdn_icd9_13079_bde7f448","39.98","Control of hemorrhage, not otherwise specified","Hemorrhage control NOS"
"__export__.cdn_icd9_13080_90398530","__export__.cdn_icd9_13080_90398530","39.99","Other operations on vessels","Vessel operation NEC"
"__export__.cdn_icd9_13081_0eac719b","__export__.cdn_icd9_13081_0eac719b","40.0","Incision of lymphatic structures","Incis lymphatic structur"
"__export__.cdn_icd9_13082_896a2576","__export__.cdn_icd9_13082_896a2576","40.11","Biopsy of lymphatic structure","Lymphatic struct biopsy"
"__export__.cdn_icd9_13083_6b841226","__export__.cdn_icd9_13083_6b841226","40.19","Other diagnostic procedures on lymphatic structures","Lymphatic diag proc NEC"
"__export__.cdn_icd9_13084_6dc6215d","__export__.cdn_icd9_13084_6dc6215d","40.21","Excision of deep cervical lymph node","Excis deep cervical node"
"__export__.cdn_icd9_13085_0405696c","__export__.cdn_icd9_13085_0405696c","40.22","Excision of internal mammary lymph node","Excise int mammary node"
"__export__.cdn_icd9_13086_4b678a58","__export__.cdn_icd9_13086_4b678a58","40.23","Excision of axillary lymph node","Excise axillary node"
"__export__.cdn_icd9_13087_cb36235e","__export__.cdn_icd9_13087_cb36235e","40.24","Excision of inguinal lymph node","Excise inguinal node"
"__export__.cdn_icd9_13088_23f8e87d","__export__.cdn_icd9_13088_23f8e87d","40.29","Simple excision of other lymphatic structure","Simp exc lymph struc NEC"
"__export__.cdn_icd9_13089_559be356","__export__.cdn_icd9_13089_559be356","40.3","Regional lymph node excision","Regional lymph node exc"
"__export__.cdn_icd9_13090_c86d92f2","__export__.cdn_icd9_13090_c86d92f2","40.40","Radical neck dissection, not otherwise specified","Rad neck dissection NOS"
"__export__.cdn_icd9_13091_b0a95484","__export__.cdn_icd9_13091_b0a95484","40.41","Radical neck dissection, unilateral","Unilat rad neck dissect"
"__export__.cdn_icd9_13092_46f57431","__export__.cdn_icd9_13092_46f57431","40.42","Radical neck dissection, bilateral","Bilat rad neck dissect"
"__export__.cdn_icd9_13093_f8d47d8e","__export__.cdn_icd9_13093_f8d47d8e","40.50","Radical excision of lymph nodes, not otherwise specified","Rad node dissection NOS"
"__export__.cdn_icd9_13094_f1c7ede5","__export__.cdn_icd9_13094_f1c7ede5","40.51","Radical excision of axillary lymph nodes","Rad dissec axillary node"
"__export__.cdn_icd9_13095_961026df","__export__.cdn_icd9_13095_961026df","40.52","Radical excision of periaortic lymph nodes","Rad dissec periaort node"
"__export__.cdn_icd9_13096_c3671dfd","__export__.cdn_icd9_13096_c3671dfd","40.53","Radical excision of iliac lymph nodes","Rad dissect iliac nodes"
"__export__.cdn_icd9_13097_2929b23c","__export__.cdn_icd9_13097_2929b23c","40.54","Radical groin dissection","Radical groin dissection"
"__export__.cdn_icd9_13098_b47b9932","__export__.cdn_icd9_13098_b47b9932","40.59","Radical excision of other lymph nodes","Rad node dissection NEC"
"__export__.cdn_icd9_13099_0b050771","__export__.cdn_icd9_13099_0b050771","40.61","Cannulation of thoracic duct","Thorac duct cannulation"
"__export__.cdn_icd9_13100_7c04e80e","__export__.cdn_icd9_13100_7c04e80e","40.62","Fistulization of thoracic duct","Thoracic duct fistulizat"
"__export__.cdn_icd9_13101_d8571541","__export__.cdn_icd9_13101_d8571541","40.63","Closure of fistula of thoracic duct","Close thoracic duct fist"
"__export__.cdn_icd9_13102_e18cb4a5","__export__.cdn_icd9_13102_e18cb4a5","40.64","Ligation of thoracic duct","Ligate thoracic duct"
"__export__.cdn_icd9_13103_931b1229","__export__.cdn_icd9_13103_931b1229","40.69","Other operations on thoracic duct","Thoracic duct op NEC"
"__export__.cdn_icd9_13104_fa000830","__export__.cdn_icd9_13104_fa000830","40.9","Other operations on lymphatic structures","Lymph structure op NEC"
"__export__.cdn_icd9_13105_86a73dd4","__export__.cdn_icd9_13105_86a73dd4","41.00","Bone marrow transplant, not otherwise specified","Bone marrow trnsplnt NOS"
"__export__.cdn_icd9_13106_7109d96b","__export__.cdn_icd9_13106_7109d96b","41.01","Autologous bone marrow transplant without purging","Auto bone mt w/o purg"
"__export__.cdn_icd9_13107_b71332c6","__export__.cdn_icd9_13107_b71332c6","41.02","Allogeneic bone marrow transplant with purging","Alo bone marrow trnsplnt"
"__export__.cdn_icd9_13108_92a4959c","__export__.cdn_icd9_13108_92a4959c","41.03","Allogeneic bone marrow transplant without purging","Allogrft bone marrow NOS"
"__export__.cdn_icd9_13109_beae2ac6","__export__.cdn_icd9_13109_beae2ac6","41.04","Autologous hematopoietic stem cell transplant without purging","Auto hem stem ct w/o pur"
"__export__.cdn_icd9_13110_a4625a02","__export__.cdn_icd9_13110_a4625a02","41.05","Allogeneic hematopoietic stem cell transpant without purging","Allo hem stem ct w/o pur"
"__export__.cdn_icd9_13111_fbfcc0ab","__export__.cdn_icd9_13111_fbfcc0ab","41.06","Cord blood stem cell transplant","Cord bld stem cell trans"
"__export__.cdn_icd9_13112_d5e3349d","__export__.cdn_icd9_13112_d5e3349d","41.07","Autologous hematopoietic stem cell transplant with purging","Auto hem stem ct w purg"
"__export__.cdn_icd9_13113_35e0ac96","__export__.cdn_icd9_13113_35e0ac96","41.08","Allogeneic hematopoietic stem cell transplant with purging","Allo hem stem ct w purg"
"__export__.cdn_icd9_13114_20479d00","__export__.cdn_icd9_13114_20479d00","41.09","Autologous bone marrow transplant with purging","Auto bone mt w purging"
"__export__.cdn_icd9_13115_d445a66e","__export__.cdn_icd9_13115_d445a66e","41.1","Puncture of spleen","Puncture of spleen"
"__export__.cdn_icd9_13116_df0efd78","__export__.cdn_icd9_13116_df0efd78","41.2","Splenotomy","Splenotomy"
"__export__.cdn_icd9_13117_36fea230","__export__.cdn_icd9_13117_36fea230","41.31","Biopsy of bone marrow","Bone marrow biopsy"
"__export__.cdn_icd9_13118_225db293","__export__.cdn_icd9_13118_225db293","41.32","Closed [aspiration] [percutaneous] biopsy of spleen","Closed spleen biopsy"
"__export__.cdn_icd9_13119_95192107","__export__.cdn_icd9_13119_95192107","41.33","Open biopsy of spleen","Open spleen biopsy"
"__export__.cdn_icd9_13120_b05d5dc0","__export__.cdn_icd9_13120_b05d5dc0","41.38","Other diagnostic procedures on bone marrow","Marrow diagnost proc NEC"
"__export__.cdn_icd9_13121_5c177989","__export__.cdn_icd9_13121_5c177989","41.39","Other diagnostic procedures on spleen","Spleen diagnost proc NEC"
"__export__.cdn_icd9_13122_7aaa33df","__export__.cdn_icd9_13122_7aaa33df","41.41","Marsupialization of splenic cyst","Splenic cyst marsupial"
"__export__.cdn_icd9_13123_9411882b","__export__.cdn_icd9_13123_9411882b","41.42","Excision of lesion or tissue of spleen","Exc splenic lesion/tiss"
"__export__.cdn_icd9_13124_aa9152bb","__export__.cdn_icd9_13124_aa9152bb","41.43","Partial splenectomy","Partial splenectomy"
"__export__.cdn_icd9_13125_62f47deb","__export__.cdn_icd9_13125_62f47deb","41.5","Total splenectomy","Total splenectomy"
"__export__.cdn_icd9_13126_fd0399f2","__export__.cdn_icd9_13126_fd0399f2","41.91","Aspiration of bone marrow from donor for transplant","Donor marrow aspiration"
"__export__.cdn_icd9_13127_536b2e60","__export__.cdn_icd9_13127_536b2e60","41.92","Injection into bone marrow","Injection into marrow"
"__export__.cdn_icd9_13128_a6500770","__export__.cdn_icd9_13128_a6500770","41.93","Excision of accessory spleen","Exc of accessory spleen"
"__export__.cdn_icd9_13129_f48a03b4","__export__.cdn_icd9_13129_f48a03b4","41.94","Transplantation of spleen","Spleen transplantation"
"__export__.cdn_icd9_13130_2fe541d3","__export__.cdn_icd9_13130_2fe541d3","41.95","Repair and plastic operations on spleen","Repair of spleen"
"__export__.cdn_icd9_13131_9a5edad6","__export__.cdn_icd9_13131_9a5edad6","41.98","Other operations on bone marrow","Bone marrow ops NEC"
"__export__.cdn_icd9_13132_1ebda77d","__export__.cdn_icd9_13132_1ebda77d","41.99","Other operations on spleen","Spleen operation NEC"
"__export__.cdn_icd9_13133_0e42fcbc","__export__.cdn_icd9_13133_0e42fcbc","42.01","Incision of esophageal web","Esophageal web incision"
"__export__.cdn_icd9_13134_76e9beb9","__export__.cdn_icd9_13134_76e9beb9","42.09","Other incision of esophagus","Esophageal incision NEC"
"__export__.cdn_icd9_13135_2c68edf7","__export__.cdn_icd9_13135_2c68edf7","42.10","Esophagostomy, not otherwise specified","Esophagostomy NOS"
"__export__.cdn_icd9_13136_25b32be8","__export__.cdn_icd9_13136_25b32be8","42.11","Cervical esophagostomy","Cervical esophagostomy"
"__export__.cdn_icd9_13137_23ec7d6f","__export__.cdn_icd9_13137_23ec7d6f","42.12","Exteriorization of esophageal pouch","Esoph pouch exteriorizat"
"__export__.cdn_icd9_13138_9baa2caf","__export__.cdn_icd9_13138_9baa2caf","42.19","Other external fistulization of esophagus","Ext fistulizat esoph NEC"
"__export__.cdn_icd9_13139_d5da712e","__export__.cdn_icd9_13139_d5da712e","42.21","Operative esophagoscopy by incision","Esophagoscopy by incis"
"__export__.cdn_icd9_13140_92064011","__export__.cdn_icd9_13140_92064011","42.22","Esophagoscopy through artificial stoma","Esophagoscopy thru stoma"
"__export__.cdn_icd9_13141_c2661f92","__export__.cdn_icd9_13141_c2661f92","42.23","Other esophagoscopy","Esophagoscopy NEC"
"__export__.cdn_icd9_13142_cf50077e","__export__.cdn_icd9_13142_cf50077e","42.24","Closed [endoscopic] biopsy of esophagus","Closed bx of esophagus"
"__export__.cdn_icd9_13143_c0894460","__export__.cdn_icd9_13143_c0894460","42.25","Open biopsy of esophagus","Open biopsy of esophagus"
"__export__.cdn_icd9_13144_e31adeb3","__export__.cdn_icd9_13144_e31adeb3","42.29","Other diagnostic procedures on esophagus","Esophageal dx proc NEC"
"__export__.cdn_icd9_13145_1b166c8a","__export__.cdn_icd9_13145_1b166c8a","42.31","Local excision of esophageal diverticulum","Loc excis esoph divertic"
"__export__.cdn_icd9_13146_c531a28d","__export__.cdn_icd9_13146_c531a28d","42.32","Local excision of other lesion or tissue of esophagus","Local excis esophag NEC"
"__export__.cdn_icd9_13147_16759a64","__export__.cdn_icd9_13147_16759a64","42.33","Endoscopic excision or destruction of lesion or tissue of esophagus","Endosc destruc esoph les"
"__export__.cdn_icd9_13148_3e5199d1","__export__.cdn_icd9_13148_3e5199d1","42.39","Other destruction of lesion or tissue of esophagus","Destruct esophag les NEC"
"__export__.cdn_icd9_13149_a54963a4","__export__.cdn_icd9_13149_a54963a4","42.40","Esophagectomy, not otherwise specified","Esophagectomy NOS"
"__export__.cdn_icd9_13150_31d4eb37","__export__.cdn_icd9_13150_31d4eb37","42.41","Partial esophagectomy","Partial esophagectomy"
"__export__.cdn_icd9_13151_f86fe040","__export__.cdn_icd9_13151_f86fe040","42.42","Total esophagectomy","Total esophagectomy"
"__export__.cdn_icd9_13152_5b253c87","__export__.cdn_icd9_13152_5b253c87","42.51","Intrathoracic esophagoesophagostomy","Thorac esophagoesophagos"
"__export__.cdn_icd9_13153_f8f6e0f5","__export__.cdn_icd9_13153_f8f6e0f5","42.52","Intrathoracic esophagogastrostomy","Thorac esophagogastrost"
"__export__.cdn_icd9_13154_775693cf","__export__.cdn_icd9_13154_775693cf","42.53","Intrathoracic esophageal anastomosis with interposition of small bowel","Thorac sm bowel interpos"
"__export__.cdn_icd9_13155_343569ca","__export__.cdn_icd9_13155_343569ca","42.54","Other intrathoracic esophagoenterostomy","Thorac esophagoenter NEC"
"__export__.cdn_icd9_13156_248089c3","__export__.cdn_icd9_13156_248089c3","42.55","Intrathoracic esophageal anastomosis with interposition of colon","Thorac lg bowel interpos"
"__export__.cdn_icd9_13157_7b40a7b5","__export__.cdn_icd9_13157_7b40a7b5","42.56","Other intrathoracic esophagocolostomy","Thorac esophagocolos NEC"
"__export__.cdn_icd9_13158_d5000946","__export__.cdn_icd9_13158_d5000946","42.58","Intrathoracic esophageal anastomosis with other interposition","Thorac interposition NEC"
"__export__.cdn_icd9_13159_eef67028","__export__.cdn_icd9_13159_eef67028","42.59","Other intrathoracic anastomosis of esophagus","Thorac esophag anast NEC"
"__export__.cdn_icd9_13160_a9c67721","__export__.cdn_icd9_13160_a9c67721","42.61","Antesternal esophagoesophagostomy","Stern esophagoesophagost"
"__export__.cdn_icd9_13161_58103dc6","__export__.cdn_icd9_13161_58103dc6","42.62","Antesternal esophagogastrostomy","Stern esophagogastrostom"
"__export__.cdn_icd9_13162_76d6005f","__export__.cdn_icd9_13162_76d6005f","42.63","Antesternal esophageal anastomosis with interposition of small bowel","Stern sm bowel interpos"
"__export__.cdn_icd9_13163_674dd48b","__export__.cdn_icd9_13163_674dd48b","42.64","Other antesternal esophagoenterostomy","Stern esophagoenter NEC"
"__export__.cdn_icd9_13164_46508f25","__export__.cdn_icd9_13164_46508f25","42.65","Antesternal esophageal anastomosis with interposition of colon","Stern lg bowel interpos"
"__export__.cdn_icd9_13165_dd7772e2","__export__.cdn_icd9_13165_dd7772e2","42.66","Other antesternal esophagocolostomy","Stern esophagocolos NEC"
"__export__.cdn_icd9_13166_34120b8d","__export__.cdn_icd9_13166_34120b8d","42.68","Other antesternal esophageal anastomosis with interposition","Stern interposition NEC"
"__export__.cdn_icd9_13167_33dc57ac","__export__.cdn_icd9_13167_33dc57ac","42.69","Other antesternal anastomosis of esophagus","Stern esophag anast NEC"
"__export__.cdn_icd9_13168_5bb8763a","__export__.cdn_icd9_13168_5bb8763a","42.7","Esophagomyotomy","Esophagomyotomy"
"__export__.cdn_icd9_13169_6b90c16e","__export__.cdn_icd9_13169_6b90c16e","42.81","Insertion of permanent tube into esophagus","Insert perm tube esophag"
"__export__.cdn_icd9_13170_05edd06a","__export__.cdn_icd9_13170_05edd06a","42.82","Suture of laceration of esophagus","Suture esophageal lacer"
"__export__.cdn_icd9_13171_dd0fd4a5","__export__.cdn_icd9_13171_dd0fd4a5","42.83","Closure of esophagostomy","Esophagostomy closure"
"__export__.cdn_icd9_13172_becc2439","__export__.cdn_icd9_13172_becc2439","42.84","Repair of esophageal fistula, not elsewhere classified","Esoph fistula repair NEC"
"__export__.cdn_icd9_13173_f9738c77","__export__.cdn_icd9_13173_f9738c77","42.85","Repair of esophageal stricture","Esophag stricture repair"
"__export__.cdn_icd9_13174_4366204c","__export__.cdn_icd9_13174_4366204c","42.86","Production of subcutaneous tunnel without esophageal anastomosis","Prod subq tunnel no anas"
"__export__.cdn_icd9_13175_21b7f333","__export__.cdn_icd9_13175_21b7f333","42.87","Other graft of esophagus","Esophageal graft NEC"
